meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1141,7768,24,239,269,317,2023-03-04T15:23:58.708000+00:00,91.615,FALSE,29.212,39.338,23.065,,,,5
1141,7768,18,241,268,317,2023-03-04T15:14:18.031000+00:00,91.617,FALSE,29.266,39.428,22.923,,,,2
1141,7768,4,241,269,318,2023-03-04T15:24:10.020000+00:00,91.652,FALSE,29.304,39.257,23.091,,,,6
1141,7768,2,241,271,322,2023-03-04T15:25:01.769000+00:00,91.652,FALSE,29.352,39.343,22.957,,,,5
1141,7768,44,242,271,324,2023-03-04T15:25:15.816000+00:00,91.654,FALSE,29.194,39.479,22.981,,,,5
1141,7768,31,241,270,321,2023-03-04T15:15:02.467000+00:00,91.688,FALSE,29.321,39.398,22.969,,,,2
1141,7768,16,241,272,323,2023-03-04T15:38:30.536000+00:00,91.699,FALSE,29.301,39.434,22.964,,,,10
1141,7768,63,241,271,318,2023-03-04T15:25:11.581000+00:00,91.718,FALSE,29.295,39.432,22.991,,,,5
1141,7768,22,240,270,315,2023-03-04T15:14:51.827000+00:00,91.747,FALSE,29.361,39.391,22.995,,,,5
1141,7768,10,241,270,322,2023-03-04T15:24:16.520000+00:00,91.818,FALSE,29.247,39.412,23.159,,,,5
1141,7768,20,240,271,317,2023-03-04T15:23:49.223000+00:00,91.892,FALSE,29.428,39.369,23.095,,,,5
1141,7768,18,240,267,318,2023-03-04T15:59:48.653000+00:00,91.926,FALSE,29.329,39.681,22.916,,,,14
1141,7768,27,241,270,316,2023-03-04T15:37:45.896000+00:00,91.932,FALSE,29.43,39.521,22.981,,,,10
1141,7768,24,239,269,316,2023-03-04T15:13:57.344000+00:00,91.947,FALSE,29.442,39.459,23.046,,,,2
1141,7768,77,240,268,316,2023-03-04T15:14:02.421000+00:00,91.952,FALSE,29.286,39.606,23.06,,,,2
1141,7768,20,240,270,316,2023-03-04T15:14:09.547000+00:00,92.07,FALSE,29.414,39.561,23.095,,,,2
1141,7768,23,240,274,323,2023-03-04T15:13:52.375000+00:00,92.094,FALSE,29.384,39.714,22.996,,,,2
1141,7768,81,241,268,316,2023-03-04T15:24:39.238000+00:00,92.101,FALSE,29.561,39.454,23.086,,,,6
1141,7768,21,240,270,315,2023-03-04T15:14:55.546000+00:00,92.121,FALSE,29.382,39.634,23.105,,,,5
1141,7768,22,239,269,312,2023-03-04T15:02:03.091000+00:00,92.132,FALSE,29.548,39.539,23.045,,,,2
1141,7768,77,239,268,317,2023-03-04T15:37:54.989000+00:00,92.17,FALSE,29.404,39.613,23.153,,,,8
1141,7768,10,241,269,324,2023-03-04T15:15:42.685000+00:00,92.181,FALSE,29.33,39.764,23.087,,,,2
1141,7768,4,240,267,317,2023-03-04T15:38:07.458000+00:00,92.191,FALSE,29.492,39.628,23.071,,,,9
1141,7768,24,240,268,316,2023-03-04T15:37:51.146000+00:00,92.233,FALSE,29.565,39.622,23.046,,,,8
1141,7768,21,239,270,316,2023-03-04T15:23:53.270000+00:00,92.279,FALSE,29.514,39.699,23.066,,,,8
1141,7768,18,241,267,316,2023-03-04T15:37:31.240000+00:00,92.305,FALSE,29.581,39.779,22.945,,,,8
1141,7768,27,240,271,317,2023-03-04T15:14:26.437000+00:00,92.36,FALSE,29.533,39.687,23.14,,,,4
1141,7768,31,240,269,320,2023-03-04T15:37:37.552000+00:00,92.367,FALSE,29.418,39.796,23.153,,,,8
1141,7768,55,239,269,324,2023-03-04T15:02:31.496000+00:00,92.408,FALSE,29.425,39.878,23.105,,,,2
1141,7768,22,238,268,320,2023-03-04T15:46:44.870000+00:00,92.51,FALSE,29.54,39.859,23.111,,,,14
1141,7768,4,239,268,319,2023-03-04T15:15:51.998000+00:00,92.555,FALSE,29.564,39.794,23.197,,,,3
1141,7768,81,238,268,316,2023-03-04T15:15:31.170000+00:00,92.633,FALSE,29.815,39.653,23.165,,,,3
1141,7768,2,239,271,322,2023-03-04T15:15:47.998000+00:00,92.673,FALSE,29.94,39.58,23.153,,,,2
1141,7768,22,238,268,316,2023-03-04T15:38:13.630000+00:00,92.72,FALSE,29.661,39.899,23.16,,,,11
1141,7768,21,239,269,313,2023-03-04T15:02:08.028000+00:00,92.849,FALSE,29.558,40.17,23.121,,,,2
1141,7768,27,219,239,267,2023-03-04T15:39:17.800000+00:00,104.226,FALSE,31.982,43.546,28.698,,,,11
1141,7768,4,197,217,242,2023-03-04T15:17:24.715000+00:00,106.866,FALSE,33.966,44.148,28.752,,,,4
1141,7768,2,223,217,303,2023-03-04T15:17:20.652000+00:00,106.937,FALSE,31.774,44.513,30.65,,,,3
1141,7768,21,216,239,278,2023-03-04T15:16:27.669000+00:00,108.764,FALSE,33.895,45.174,29.695,,,,6
1141,7768,22,213,194,298,2023-03-04T15:16:23.528000+00:00,109.118,FALSE,32.905,45.531,30.682,,,,6
1141,7768,27,205,190,241,2023-03-04T15:15:58.779000+00:00,109.425,FALSE,34.139,45.704,29.582,,,,5
1141,7768,20,206,205,306,2023-03-04T15:25:21.097000+00:00,109.426,FALSE,33.971,46.898,28.557,,,,6
1141,7768,1,205,215,234,2023-03-04T15:16:04.919000+00:00,109.812,FALSE,35.615,44.953,29.244,,,,4
1141,7768,18,190,205,295,2023-03-04T15:39:03.723000+00:00,110.402,FALSE,31.847,45.969,32.586,,,,9
1141,7768,18,181,169,254,2023-03-04T16:01:20.605000+00:00,111.189,FALSE,32.773,46.94,31.476,,,,15
1141,7768,44,171,246,278,2023-03-04T15:39:54.378000+00:00,111.818,FALSE,34.866,49.637,27.315,,,,9
1142,7775,11,294,330,337,2023-03-18T17:52:07.479000+00:00,88.265,FALSE,32.139,27.982,28.144,,,,15
1142,7775,16,290,327,331,2023-03-18T17:59:15.833000+00:00,88.42,FALSE,32.154,28.027,28.239,,,,18
1142,7775,11,293,331,335,2023-03-18T17:39:30.066000+00:00,88.635,FALSE,32.222,28.147,28.266,,,,12
1142,7775,14,291,318,325,2023-03-18T17:58:00.256000+00:00,88.73,FALSE,32.171,28.084,28.475,,,,17
1142,7775,14,292,320,326,2023-03-18T17:26:59.152000+00:00,88.757,FALSE,32.176,28.074,28.507,,,,9
1142,7775,16,292,326,331,2023-03-18T17:50:16.496000+00:00,88.757,FALSE,32.27,28.058,28.429,,,,15
1142,7775,1,293,331,337,2023-03-18T17:05:18.855000+00:00,88.761,FALSE,32.268,28.188,28.305,,,,2
1142,7775,63,291,323,328,2023-03-18T17:59:21.224000+00:00,88.857,FALSE,32.231,28.161,28.465,,,,20
1142,7775,63,290,323,328,2023-03-18T17:51:04.183000+00:00,88.872,FALSE,32.183,28.255,28.434,,,,17
1142,7775,11,292,330,333,2023-03-18T17:31:39.821000+00:00,88.874,FALSE,32.296,28.197,28.381,,,,9
1142,7775,16,289,325,329,2023-03-18T17:31:58.227000+00:00,88.903,FALSE,32.355,28.197,28.351,,,,12
1142,7775,14,290,317,324,2023-03-18T17:49:48.933000+00:00,88.925,FALSE,32.116,28.251,28.558,,,,14
1142,7775,55,290,323,329,2023-03-18T17:59:35.489000+00:00,88.931,FALSE,32.552,28.125,28.254,,,,23
1142,7775,18,293,317,317,2023-03-18T17:58:58.724000+00:00,88.945,FALSE,32.068,28.137,28.74,,,,19
1142,7775,55,289,326,331,2023-03-18T17:39:09.597000+00:00,88.957,FALSE,32.321,28.247,28.389,,,,16
1142,7775,18,291,318,320,2023-03-18T17:38:47.753000+00:00,88.962,FALSE,32.21,28.218,28.534,,,,14
1142,7775,18,289,317,323,2023-03-18T17:55:03.664000+00:00,89.017,FALSE,32.271,28.208,28.538,,,,17
1142,7775,16,290,326,331,2023-03-18T17:27:45.636000+00:00,89.068,FALSE,32.513,28.192,28.363,,,,10
1142,7775,31,289,319,326,2023-03-18T17:58:47.443000+00:00,89.078,FALSE,32.301,28.3,28.477,,,,23
1142,7775,63,290,323,327,2023-03-18T17:35:27.131000+00:00,89.132,FALSE,32.307,28.253,28.572,,,,12
1142,7775,44,290,322,326,2023-03-18T17:50:56.542000+00:00,89.223,FALSE,32.468,28.203,28.552,,,,17
1142,7775,81,287,313,316,2023-03-18T17:58:35.990000+00:00,89.243,FALSE,32.426,28.272,28.545,,,,22
1142,7775,11,292,329,334,2023-03-18T17:17:49.159000+00:00,89.244,FALSE,32.699,28.193,28.352,,,,6
1142,7775,44,289,325,329,2023-03-18T17:59:08.693000+00:00,89.248,FALSE,32.585,28.255,28.408,,,,20
1142,7775,18,291,318,324,2023-03-18T17:27:06.527000+00:00,89.25,FALSE,32.424,28.299,28.527,,,,9
1142,7775,31,289,320,326,2023-03-18T17:39:03.488000+00:00,89.255,FALSE,32.262,28.357,28.636,,,,16
1142,7775,11,292,330,333,2023-03-18T17:04:58.996000+00:00,89.261,FALSE,32.552,28.239,28.47,,,,2
1142,7775,18,291,320,325,2023-03-18T17:35:08.428000+00:00,89.263,FALSE,32.296,28.335,28.632,,,,12
1142,7775,63,290,326,329,2023-03-18T17:39:13.191000+00:00,89.284,FALSE,32.379,28.31,28.595,,,,14
1142,7775,31,289,320,326,2023-03-18T17:49:55.480000+00:00,89.285,FALSE,32.409,28.334,28.542,,,,19
