MEETING_KEY,SESSION_KEY,DRIVER_NUMBER,I1_SPEED,I2_SPEED,ST_SPEED,DATE_START_LAP,LAP_DURATION,DURATION_SECTOR_1,DURATION_SECTOR_2,DURATION_SECTOR_3,LAP_NUMBER,AIR_TEMPERATURE,HUMIDITY,PRESSURE,RAINFALL,TRACK_TEMPERATURE,WIND_DIRECTION,WIND_SPEED,LOCATION,COUNTRY_NAME,CIRCUIT_SHORT_NAME,SESSION_TYPE,SESSION_NAME,DATE_START_SESSION,DATE_END_SESSION,GMT_OFFSET,YEAR,CIRCUIT,TYPE,DIRECTION,TURNS,LENGTH_KM
1141,7768,55,242,270,326,2023-03-04T15:47:00Z,90.515,28.78,39.032,22.703,11,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,14,241,267,320,2023-03-04T15:47:00Z,90.645,29.012,38.987,22.646,11,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,11,240,270,323,2023-03-04T15:39:00Z,90.746,28.964,38.997,22.785,8,23.8,20,1017.7,0,27.9,123,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,27,241,270,317,2023-03-04T15:47:00Z,90.809,29.042,38.957,22.81,13,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,243,266,317,2023-03-04T16:07:00Z,90.836,29.033,39.07,22.733,17,23.1,33,1017.7,0,26.8,327,1.1,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,44,242,271,322,2023-03-04T15:38:00Z,90.901,28.94,39.166,22.795,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,31,241,269,320,2023-03-04T15:46:00Z,90.914,29.111,39.107,22.696,11,23.7,21,1017.9,0,27.7,268,0,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,31,242,270,320,2023-03-04T16:07:00Z,90.984,29.026,39.104,22.854,14,23.1,33,1017.7,0,26.8,327,1.1,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,55,242,271,326,2023-03-04T15:15:00Z,90.993,28.887,39.206,22.9,5,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,27,242,270,315,2023-03-04T16:04:00Z,91.055,29.132,39.069,22.854,16,23.1,32,1017.7,0,26.8,343,1,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,63,242,271,320,2023-03-04T15:15:00Z,91.057,28.967,39.224,22.866,2,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,63,243,270,319,2023-03-04T15:38:00Z,91.086,29.075,39.208,22.803,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,16,242,274,324,2023-03-04T15:15:00Z,91.094,29.099,39.134,22.861,5,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,14,241,266,318,2023-03-04T15:38:00Z,91.094,29.132,39.075,22.887,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,242,267,320,2023-03-04T15:48:00Z,91.127,29.038,39.302,22.787,11,23.6,21,1017.7,0,27.6,310,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,14,240,268,318,2023-03-04T15:15:00Z,91.158,29.259,39.038,22.861,2,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,242,268,318,2023-03-04T15:24:00Z,91.184,28.966,39.39,22.828,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,27,241,270,318,2023-03-04T15:25:00Z,91.204,29.049,39.215,22.94,7,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,14,240,268,317,2023-03-04T15:25:00Z,91.228,29.127,39.239,22.862,5,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,1,240,270,322,2023-03-04T15:15:00Z,91.295,29.152,39.195,22.948,3,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,4,240,267,320,2023-03-04T15:47:00Z,91.381,29.235,39.21,22.936,12,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,22,239,270,316,2023-03-04T15:24:00Z,91.4,29.242,39.229,22.929,8,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,77,240,268,318,2023-03-04T15:47:00Z,91.443,29.235,39.327,22.881,11,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,23,241,274,322,2023-03-04T15:23:00Z,91.461,29.25,39.224,22.987,5,24.3,15,1017.5,0,28.7,317,0,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,55,241,270,323,2023-03-04T15:39:00Z,91.463,29.184,39.406,22.873,8,23.8,20,1017.7,0,27.9,123,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,24,240,267,318,2023-03-04T15:47:00Z,91.473,29.041,39.427,23.005,11,23.6,21,1017.7,0,27.6,319,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
